"artists","danceability","energy","liveness","tempo","loudness","acousticness","speechiness"
"Jackopierce",0.56,0.2,0.24,0.6,0.73,0.66,0.04
"Jacksepticeye",0.75,0.72,0.44,0.59,0.92,0.09,0.09
"Jackson Berkey",0.32,0.29,0.13,0.51,0.78,0.5,0.04
"Jackson Breit",0.69,0.73,0.19,0.38,0.89,0.08,0.13
"Jackson Browne",0.54,0.5,0.2,0.56,0.81,0.39,0.04
"Jackson C. Frank",0.46,0.29,0.11,0.6,0.77,0.84,0.03
"Jackson Do Pandeiro",0.67,0.74,0.35,0.42,0.84,0.9,0.07
"Jackson Howe",0.25,0.82,0.34,0.87,0.85,0,0.08
"Jackson Taylor & the Sinners",0.62,0.81,0.1,0.47,0.88,0.12,0.05
"Jackson Wang",0.69,0.87,0.4,0.58,0.91,0.04,0.05
"Jacky Cheung",0.56,0.31,0.2,0.55,0.77,0.67,0.03
"Jacky Terrasson",0.36,0.12,0.22,0.35,0.61,0.18,0.05
"Jackyl",0.65,0.8,0.38,0.54,0.85,0.02,0.04
"Jaco Pastorius",0.48,0.43,0.28,0.57,0.69,0.65,0.05
"Jacob David",0.42,0.1,0.09,0.51,0.55,0.99,0.04
"Jacob Do Bandolim",0.59,0.65,0.18,0.55,0.83,0.67,0.04
"Jacob Hemphill",0.92,0.51,0.14,0.62,0.84,0.08,0.09
"Jacob Tillberg",0.72,0.81,0.08,0.57,0.9,0.29,0.19
"Jacobo Maestas",0.59,0.07,0.18,0.83,0.55,1,0.13
"Jacobo Ramos",0.48,0.47,0.21,0.62,0.84,0.16,0.03
"Jacquees",0.67,0.53,0.19,0.58,0.84,0.13,0.12
"Jacqueline Bonneau",0.4,0.08,0.1,0.5,0.68,0.99,0.06
"Jacqueline Harpet",0.54,0.2,0.12,0.4,0.63,0.76,0.88
"Jacqueline Mayro",0.49,0.19,0.15,0.43,0.76,0.59,0.04
"Jacqueline Taieb",0.56,0.63,0.27,0.45,0.87,0.13,0.05
"Jacqueline du Pré",0.19,0.09,0.12,0.48,0.61,0.97,0.04
"Jacques Baliardo",0.59,0.64,0.11,0.44,0.78,0.77,0.05
"Jacques Brel",0.46,0.44,0.29,0.51,0.82,0.7,0.13
"Jacques D'Amboise",0.62,0.18,0.25,0.29,0.74,0.86,0.15
"Jacques Dutronc",0.56,0.63,0.15,0.62,0.84,0.3,0.07
"Jacques Février",0.47,0.13,0.12,0.47,0.65,0.99,0.05
"Jacques Hilling",0.82,0.2,0.34,0.32,0.73,0.84,0.82
"Jacques Ibert",0.27,0.21,0.34,0.49,0.65,0.84,0.05
"Jacques Jansen",0.49,0.11,0.1,0.52,0.71,0.99,0.06
"Jacques Offenbach",0.26,0.15,0.28,0.45,0.6,0.84,0.04
"Jacques Prévert",0.7,0.14,0.23,0.33,0.68,0.91,0.59
"Jacques Stotzem",0.77,0.33,0.07,0.51,0.74,0.71,0.07
"Jadakiss",0.65,0.74,0.17,0.53,0.89,0.08,0.3
"Jade",0.74,0.74,0.29,0.7,0.83,0.09,0.09
"Jaden",0.61,0.69,0.21,0.52,0.86,0.19,0.14
"Jadiel",0.7,0.86,0.22,0.4,0.89,0.12,0.04
"Jadon Lavik",0.54,0.56,0.09,0.64,0.85,0.27,0.03
"Jadu Jadu",0.71,0.44,0.09,0.66,0.83,0.27,0.64
"Jafé",0.8,0.5,0.11,0.43,0.89,0.56,0.07
"Jaganmoy Mitra",0.35,0.18,0.12,0.48,0.67,0.99,0.05
"Jagannath",0.61,0.11,0.34,0.32,0.79,1,0.18
"Jagged Edge",0.72,0.63,0.2,0.51,0.87,0.29,0.14
"Jagirdar",0.52,0.25,0.15,0.32,0.77,0.99,0.18
"Jagjit Kaur",0.56,0.15,0.12,0.37,0.72,0.99,0.04
"Jagjit Singh",0.47,0.43,0.15,0.49,0.81,0.69,0.03
"Jagmohan",0.53,0.2,0.39,0.63,0.84,0.99,0.11
"Jagmohan Mitra",0.43,0.29,0.16,0.41,0.82,0.99,0.08
"Jagmohan Sursagar",0.5,0.19,0.15,0.37,0.77,0.99,0.12
"Jaguar Wright",0.67,0.5,0.19,0.39,0.83,0.43,0.15
"Jaguares",0.57,0.7,0.23,0.56,0.86,0.16,0.03
"Jah Cure",0.58,0.6,0.11,0.76,0.86,0.3,0.3
"Jaheim",0.66,0.53,0.14,0.45,0.86,0.18,0.14
"Jahloul Bouchikhi",0.59,0.71,0.13,0.46,0.8,0.74,0.05
"Jai Paul",0.66,0.34,0.27,0.41,0.84,0.77,0.3
"Jai Wolf",0.52,0.78,0.15,0.58,0.92,0.14,0.04
"Jail Bharati",0.74,0.19,0.13,0.38,0.81,0.99,0.1
"Jailess",0.76,0.65,0.1,0.42,0.86,0.61,0.44
"Jaime Laredo",0.25,0.09,0.14,0.4,0.6,0.94,0.04
"Jaime Pierce",0.48,0.33,0.1,0.64,0.84,0.74,0.04
"Jaime Santos",0.54,0.28,0.23,0.54,0.8,0.88,0.05
"Jaime Y Los Chamacos",0.74,0.89,0.09,0.44,0.88,0.11,0.04
"Jain",0.82,0.66,0.29,0.53,0.82,0.42,0.07
"Jaira Burns",0.63,0.78,0.25,0.7,0.9,0.01,0.05
"Jairam Shiledar",0.51,0.13,0.12,0.29,0.73,0.99,0.12
"Jake Bugg",0.58,0.71,0.12,0.49,0.88,0.35,0.05
"Jake Owen",0.56,0.75,0.19,0.57,0.9,0.27,0.04
"Jake Scott",0.67,0.38,0.18,0.56,0.8,0.35,0.09
"Jake Shanahan",0.65,0.92,0.06,0.59,0.9,0,0.07
"Jake Shimabukuro",0.41,0.28,0.09,0.38,0.74,0.98,0.06
"Jake Steed",0.48,0.7,0.63,0.37,0.86,0.26,0.23
"Jakey",0.64,0.66,0.22,0.47,0.88,0.37,0.06
"Jaki Graham",0.68,0.84,0.05,0.49,0.79,0.11,0.03
"Jakkyboí",0.71,0.54,0.12,0.5,0.87,0.4,0.03
"Jakob Ogawa",0.61,0.52,0.13,0.55,0.82,0.56,0.09
"Jalen Santoy",0.73,0.42,0.1,0.54,0.88,0.12,0.07
"Jamaica Ensemble",0.66,0.31,0.32,0.36,0.79,0.68,0.4
"Jamal",0.74,0.62,0.12,0.39,0.85,0.02,0.38
"Jamelia",0.8,0.64,0.04,0.51,0.87,0.05,0.04
"James",0.52,0.78,0.17,0.57,0.85,0,0.03
"James & Bobby Purify",0.64,0.55,0.46,0.57,0.82,0.23,0.03
"James Agee",0.23,0.16,0.12,0.34,0.69,0.98,0.04
"James Arthur",0.48,0.57,0.13,0.58,0.87,0.39,0.06
"James Baskett",0.66,0.22,0.35,0.47,0.73,0.91,0.13
"James Bay",0.59,0.43,0.28,0.59,0.85,0.51,0.05
"James Blake",0.6,0.45,0.11,0.57,0.83,0.49,0.14
"James Blunt",0.59,0.57,0.11,0.45,0.85,0.45,0.03
"James Booker",0.57,0.31,0.18,0.63,0.66,0.97,0.04
"James Bowman",0.17,0.03,0.1,0.41,0.57,0.87,0.04
"James Brown",0.69,0.57,0.23,0.53,0.82,0.42,0.12
"James Brown & The Famous Flames",0.56,0.47,0.23,0.54,0.82,0.57,0.06
"James Burton",0.39,0.73,0.17,0.68,0.88,0.17,0.04
"James Cagney",0.6,0.63,0.42,0.42,0.84,0.99,0.29
"James Carr",0.53,0.42,0.11,0.35,0.84,0.72,0.03
"James Cleveland",0.44,0.56,0.33,0.53,0.79,0.77,0.09
"James Cleveland & The Southern California Community Choir",0.29,0.16,0.11,0.38,0.69,0.7,0.03
"James Codrington",0.61,0.28,0.1,0.43,0.82,0.88,0.03
"James Conlon",0.22,0.09,0.22,0.46,0.59,0.98,0.05
"James Cotton",0.39,0.54,0.14,0.33,0.83,0.9,0.14
"James Dapogny's Chicago Jazz Band",0.62,0.36,0.14,0.55,0.79,0.76,0.05
"James Darren",0.49,0.48,0.21,0.56,0.81,0.72,0.05
"James DePreist",0.27,0.11,0.08,0.32,0.59,0.85,0.05
"James Earley",0.87,0.97,0.37,0.51,0.88,0,0.04
"James Fauntleroy",0.65,0.69,0.13,0.5,0.84,0.26,0.22
"James Ford Murphy",0.48,0.21,0.59,0.34,0.76,0.94,0.05
"James Fortune",0.42,0.71,0.22,0.54,0.91,0.42,0.1
"James Galway",0.18,0.06,0.09,0.45,0.56,0.97,0.05
"James Gang",0.52,0.63,0.16,0.52,0.79,0.18,0.05
"James Gannon",0.58,0.28,0.24,0.66,0.73,0.92,0.27
"James Getzoff",0.36,0.21,0.1,0.45,0.75,0.9,0.03
"James Gilstrap",0.77,0.69,0.11,0.51,0.86,0.07,0.03
"James Harkins",0.46,0.38,0.12,0.55,0.8,0.98,0.05
"James Hersey",0.63,0.66,0.17,0.8,0.89,0.23,0.1
"James Hong",0.39,0.41,0.34,0.61,0.74,0.57,0.06
"James Horner",0.17,0.11,0.12,0.51,0.56,0.71,0.04
"James Hoskins",0.17,0.05,0.09,0.77,0.7,0.95,0.04
"James Ingram",0.58,0.4,0.12,0.49,0.78,0.58,0.04
"James Judd",0.17,0.11,0.23,0.35,0.59,0.98,0.05
"James Keyes",0.68,0.38,0.34,0.6,0.86,0.86,0.06
"James Lancelot",0.13,0.02,0.11,0.31,0.51,0.97,0.05
"James Last",0.32,0.33,0.13,0.64,0.75,0.46,0.03
"James Levine",0.26,0.17,0.23,0.47,0.66,0.94,0.05
"James Loomis",0.38,0.19,0.33,0.62,0.7,0.96,0.05
"James Lord Pierpont",0.55,0.43,0.11,0.55,0.79,0.7,0.03
"James Lyman Molloy",0.46,0.09,0.11,0.48,0.72,0.94,0.08
"James Macdonald",0.57,0.17,0.13,0.46,0.75,0.96,0.11
"James Marsden",0.45,0.71,0.19,0.67,0.87,0.32,0.14
"James Mason",0.6,0.79,0.04,0.51,0.83,0.26,0.04
"James McCawley",0.47,0.75,0.14,0.73,0.85,0.19,0.07
"James McGranahan",0.19,0.16,0.18,0.35,0.61,0.99,0.04
"James McIntyre",0.21,0.15,0.1,0.29,0.57,0.95,0.04
"James McMurtry",0.53,0.66,0.12,0.67,0.84,0.38,0.04
"James Moody",0.56,0.57,0.18,0.48,0.84,0.7,0.06
"James Morris",0.46,0.22,0.08,0.54,0.78,0.92,0.04
"James Morrison",0.5,0.61,0.23,0.41,0.87,0.24,0.04
"James Moss",0.31,0.49,0.13,0.44,0.87,0.65,0.05
"James Naughton",0.57,0.37,0.11,0.56,0.76,0.56,0.08
"James Newton Howard",0.24,0.18,0.14,0.47,0.63,0.61,0.04
"James Otto",0.7,0.61,0.24,0.45,0.86,0.16,0.03
"James P. Nichols",0.24,0.1,0.12,0.36,0.61,0.94,0.04
"James Pease",0.42,0.25,0.52,0.59,0.64,0.88,0.26
"James Piano Bar",0.48,0.15,0.11,0.44,0.67,0.99,0.08
"James Rado",0.59,0.51,0.54,0.53,0.77,0.61,0.06
"James Ramsey Murray",0.14,0.13,0.1,0.39,0.59,0.99,0.04
"James Rhodes",0.37,0.02,0.07,0.78,0.52,0.99,0.06
"James Sanderson",0.49,0.6,0.27,0.52,0.79,0.8,0.04
"James Simpson",0.65,0.63,0.16,0.55,0.8,0.23,0.06
"James Singh",0.51,0.43,0.6,0.45,0.84,0.93,0.03
"James Smith",0.54,0.32,0.11,0.66,0.84,0.4,0.04
"James Spaulding",0.34,0.42,0.15,0.78,0.76,0.64,0.04
"James TW",0.65,0.45,0.14,0.61,0.86,0.37,0.05
"James Taylor",0.61,0.34,0.19,0.51,0.74,0.56,0.04
"James Thomson",0.21,0.28,0.2,0.61,0.72,0.86,0.04
"James Thornton",0.29,0.04,0.14,0.41,0.7,0.97,0.03
"James Trujillo",0.7,0.28,0.37,0.48,0.59,1,0.05
"James Tyler",0.48,0.2,0.11,0.48,0.62,0.85,0.04
"James Vincent McMorrow",0.48,0.25,0.25,0.54,0.76,0.92,0.04
"James Vincent Pickens",0.24,0.2,0.11,0.38,0.68,0.94,0.04
"James Vivian",0.08,0.04,0.11,0.31,0.49,0.78,0.05
"James Waynes",0.59,0.49,0.36,0.44,0.85,0.82,0.15
"James Whitmore",0.76,0.41,0.11,0.52,0.8,0.79,0.05
"Jameson Rodgers",0.52,0.84,0.22,0.66,0.89,0.3,0.05
"Jamestown Revival",0.45,0.79,0.09,0.74,0.89,0.15,0.04
"Jamey Johnson",0.56,0.58,0.24,0.54,0.86,0.22,0.04
"Jamie Allen",0.35,0.31,0.1,0.6,0.85,0.61,0.04
"Jamie Broza",0.82,0.69,0.29,0.48,0.85,0.04,0.09
"Jamie Campbell Bower",0.36,0.28,0.17,0.54,0.78,0.87,0.06
"Jamie Cullum",0.68,0.38,0.12,0.51,0.81,0.64,0.03
"Jamie Donnelly",0.62,0.62,0.19,0.53,0.84,0.23,0.05
"Jamie Fox",0.8,0.55,0.13,0.5,0.89,0.25,0.08
"Jamie Foxx",0.67,0.62,0.16,0.57,0.86,0.25,0.18
"Jamie Grace",0.77,0.75,0.33,0.51,0.92,0.52,0.06
"Jamie Lawson",0.59,0.42,0.11,0.42,0.87,0.42,0.05
"Jamie MacDougall",0.31,0.28,0.07,0.63,0.74,0.96,0.06
"Jamie N Commons",0.41,0.76,0.34,0.36,0.91,0,0.14
"Jamie O'Neal",0.49,0.73,0.19,0.83,0.9,0.24,0.07
"Jamie Paige",0.67,0.64,0.16,0.51,0.85,0,0.29
"Jamie Principle",0.7,0.87,0.08,0.54,0.85,0.02,0.04
"Jamie Scott",0.53,0.52,0.2,0.68,0.85,0.44,0.06
"Jamie Walters",0.57,0.55,0.11,0.58,0.84,0.03,0.03
"Jamie xx",0.66,0.63,0.37,0.44,0.82,0.09,0.13
"Jamila Woods",0.71,0.34,0.1,0.33,0.85,0.72,0.39
"Jamiroquai",0.67,0.79,0.17,0.51,0.85,0.14,0.08
"Jamiruddin Khan",0.24,0.31,0.4,0.28,0.81,0.99,0.05
"Jamuna",0.81,0.17,0.27,0.53,0.78,0.99,0.77
"Jamuna Rani",0.44,0.4,0.27,0.58,0.83,0.92,0.1
"Jan & Dean",0.5,0.74,0.24,0.61,0.83,0.6,0.04
"Jan A.P. Kaczmarek",0.34,0.08,0.22,0.55,0.61,0.96,0.04
"Jan Clayton",0.41,0.28,0.15,0.44,0.77,0.95,0.05
"Jan Drtina",0.44,0.09,0.14,0.4,0.66,0.99,0.05
"Jan Ekedahl",0.39,0.09,0.1,0.59,0.63,0.98,0.04
"Jan Garbarek",0.45,0.25,0.11,0.61,0.72,0.72,0.04
"Jan Hammer",0.55,0.54,0.4,0.59,0.75,0.45,0.09
"Jan Hammer Group",0.66,0.79,0.09,0.43,0.86,0.07,0.05
"Jan Johansson",0.5,0.12,0.1,0.48,0.62,0.95,0.05
"Jan Ladislav Dussek",0.4,0.04,0.12,0.61,0.57,1,0.04
"Jan Leyk",0.57,0.79,0.08,0.59,0.86,0.01,0.05
"Jan Maria Ouředník",0.3,0.42,0.46,0.49,0.72,0.98,0.21
"Jan Merchant",0.32,0.39,0.08,0.69,0.86,0.73,0.03
"Jan Neuberger",0.26,0.47,0.12,0.34,0.85,0.7,0.06
"Jan Ouředník",0.17,0.27,0.19,0.34,0.75,0.96,0.06
"Jan Romina",0.57,0.39,0.1,0.54,0.8,0.53,0.03
"Jan van der Crabben",0.11,0.04,0.11,0.38,0.56,0.99,0.05
"Jana Kramer",0.48,0.67,0.19,0.71,0.91,0.2,0.04
"Janabai Pawar",0.43,0.08,0.25,0.32,0.79,0.99,0.09
"Janaki Kagel",0.17,0.05,0.09,0.77,0.7,0.95,0.04
"Janamma David",0.46,0.44,0.24,0.81,0.72,0.92,0.23
"Janardan Tanjorkar",0.42,0.15,0.19,0.34,0.82,0.99,0.07
"Jane Ares",0.56,0.28,0.32,0.45,0.78,0.97,0.14
"Jane Berbié",0.23,0.06,0.41,0.38,0.62,0.98,0.05
"Jane Birkin",0.47,0.35,0.13,0.49,0.74,0.36,0.04
"Jane Child",0.71,0.68,0.04,0.51,0.8,0.02,0.04
"Jane Connell",0.54,0.48,0.09,0.6,0.83,0.72,0.08
"Jane Doe",0.85,0.69,0.13,0.41,0.83,0.12,0.37
"Jane Dupree",0.81,0.04,0.11,0.48,0.64,1,0.07
"Jane Eaglen",0.25,0.07,0.1,0.4,0.59,0.99,0.06
"Jane Monheit",0.39,0.19,0.1,0.6,0.75,0.96,0.04
"Jane Morgan",0.25,0.31,0.22,0.42,0.79,0.87,0.03
"Jane Ohringer",0.46,0.16,0.11,0.55,0.67,0.85,0.04
"Jane Olivor",0.42,0.49,0.25,0.49,0.78,0.6,0.04
"Jane Parayre",0.55,0.17,0.32,0.51,0.6,0.95,0.05
"Jane Powell",0.28,0.13,0.19,0.48,0.7,0.94,0.06
"Jane Sherberg",0.4,0.03,0.11,0.5,0.61,0.95,0.04
"Jane Siberry",0.45,0.3,0.1,0.36,0.77,0.54,0.03
"Jane Wiedlin",0.65,0.71,0.14,0.66,0.8,0.31,0.04
"Jane Winther",0.07,0.01,0.1,0.32,0.56,0.65,0.05
"Jane Wyman",0.71,0.21,0.06,0.55,0.72,0.91,0.35
"Jane's Addiction",0.41,0.75,0.38,0.55,0.82,0.13,0.08
"Janelle Monáe",0.63,0.51,0.22,0.64,0.85,0.05,0.09
"Janet Basco",0.69,0.36,0.15,0.51,0.74,0.54,0.05
"Janet Dacal",0.66,0.5,0.12,0.38,0.85,0.55,0.37
"Janet Devenish",0.37,0.13,0.15,0.45,0.67,0.9,0.06
"Janet Jackson",0.72,0.7,0.21,0.51,0.84,0.23,0.07
"Janet L. Hubert",0.29,0.19,0.2,0.57,0.72,0.94,0.04
"Janet Leigh",0.29,0.35,0.27,0.42,0.78,0.88,0.04
"Janet Metz",0.49,0.3,0.31,0.55,0.68,0.61,0.12
"Janet Orenstein",0.24,0.23,0.19,0.47,0.72,0.96,0.03
"Janet Parker",0.31,0.27,0.25,0.36,0.75,0.96,0.04
"Janet Perry",0.22,0.36,0.28,0.39,0.74,0.96,0.06
"Janet de Almeida",0.76,0.64,0.32,0.58,0.83,0.88,0.14
"Janeth Guadalupe",0.59,0.68,0.12,0.95,0.9,0.24,0.04
"Janice Kapp Perry",0.3,0.27,0.19,0.52,0.76,0.8,0.03
"Janie Fricke",0.54,0.29,0.11,0.52,0.73,0.72,0.04
"Janieck Devy",0.73,0.64,0.08,0.56,0.87,0.02,0.04
"Janine",0.61,0.35,0.11,0.54,0.84,0.44,0.04
"Janis Ian",0.45,0.29,0.12,0.52,0.74,0.73,0.07
"Janis Joplin",0.47,0.52,0.3,0.58,0.79,0.32,0.11
"Janis Paige",0.49,0.45,0.35,0.6,0.8,0.87,0.12
"Janji",0.54,0.79,0.25,0.59,0.91,0.07,0.03
"Jann Arden",0.44,0.39,0.11,0.66,0.8,0.47,0.03
"Janno Gibbs",0.47,0.28,0.1,0.28,0.75,0.43,0.03
"Jano",0.53,0.93,0.46,0.62,0.94,0.02,0.05
"Janos Balint",0.12,0.01,0.1,0.3,0.46,0.95,0.07
"Janos Kurucz",0.37,0.03,0.22,0.35,0.6,0.93,0.06
"Jantina Noorman",0.72,0.06,0.18,0.58,0.64,0.98,0.27
"Janusz Monarcha",0.32,0.12,0.2,0.6,0.68,0.95,0.04
"Janusz Olejniczak",0.31,0.06,0.07,0.44,0.53,0.99,0.04
"Japan",0.64,0.53,0.18,0.56,0.8,0.32,0.05
"Japanese Breakfast",0.54,0.67,0.15,0.44,0.84,0.1,0.03
"Jarabe De Palo",0.72,0.58,0.16,0.58,0.82,0.35,0.04
"Jararaca E Ratinho",0.7,0.49,0.18,0.5,0.79,0.94,0.2
"Jards Macalé",0.4,0.62,0.33,0.54,0.84,0.47,0.06
"Jared Gertner",0.67,0.59,0.1,0.53,0.82,0.6,0.45
"Jarmila Novotna",0.35,0.11,0.14,0.45,0.62,0.99,0.08
"Jaron And The Long Road To Love",0.4,0.64,0.15,0.64,0.88,0.61,0.05
"Jaroslav Dvořák",0.17,0.11,0.15,0.6,0.62,0.96,0.04
"Jaroslav Krcek",0.38,0.1,0.06,0.56,0.65,0.18,0.07
"Jaroslav Krombholc",0.27,0.28,0.27,0.38,0.73,0.91,0.06
"Jaroslav Veverka",0.31,0.38,0.5,0.47,0.72,0.98,0.22
"Jaroslava Horska",0.07,0.1,0.57,0.83,0.58,0.96,0.04
"Jarren Benton",0.54,0.9,0.47,0.58,0.92,0.04,0.37
"Jars Of Clay",0.57,0.68,0.14,0.46,0.82,0.12,0.03
"Jarvin Navarrete",0.8,0.77,0.13,0.59,0.86,0,0.06
"Jarvis Cocker",0.18,0.62,0.35,0.78,0.84,0.02,0.14
"Jascha Heifetz",0.34,0.18,0.2,0.49,0.67,0.95,0.06
"Jascha Horenstein",0.22,0.22,0.13,0.36,0.68,0.97,0.04
"Jascha Zayde",0.44,0.25,0.2,0.59,0.77,0.91,0.07
"Jashoda Dulal Mondal",0.53,0.2,0.11,0.34,0.67,1,0.23
"Jasiah",0.81,0.73,0.1,0.54,0.89,0.18,0.31
"Jasiel Ayon",0.73,0.81,0.1,0.51,0.87,0.47,0.03
"Jasmine Cephas-Jones",0.75,0.63,0.41,0.42,0.86,0.33,0.3
"Jasmine Thompson",0.49,0.38,0.17,0.6,0.85,0.76,0.04
"Jason Agel",0.61,0.72,0.07,0.59,0.88,0,0.03
"Jason Aldean",0.54,0.74,0.17,0.63,0.9,0.15,0.04
"Jason Alexander",0.4,0.18,0.11,0.47,0.69,0.74,0.05
"Jason Aquila",0.49,0.23,0.11,0.52,0.76,0.98,0.05
"Jason Becker",0.28,0.8,0.27,0.51,0.78,0.02,0.07
"Jason Boland",0.66,0.62,0.13,0.43,0.83,0.17,0.03
"Jason Boland & The Stragglers",0.6,0.56,0.34,0.5,0.82,0.31,0.03
"Jason Buckle",0.18,0.62,0.35,0.78,0.84,0.02,0.14
"Jason Butler",0.28,0.93,0.38,0.48,0.92,0.01,0.12
"Jason Carter",0.55,0.02,0.11,0.52,0.56,0.99,0.05
"Jason Chan",0.65,0.42,0.12,0.35,0.85,0.83,0.03
"Jason Chen",0.65,0.68,0.21,0.45,0.87,0.61,0.05
"Jason Christopher",0.53,0.98,0.19,0.55,0.91,0,0.08
"Jason Derulo",0.66,0.72,0.19,0.53,0.89,0.09,0.11
"Jason Donovan",0.53,0.66,0.21,0.52,0.84,0.42,0.07
"Jason Evigan",0.58,0.91,0.11,0.75,0.9,0.03,0.12
"Jason Gray",0.57,0.72,0.2,0.47,0.87,0,0.03
"Jason Hayes",0.37,0.32,0.14,0.38,0.73,0.77,0.04
"Jason Isbell",0.55,0.3,0.11,0.53,0.76,0.49,0.03
"Jason Isbell and the 400 Unit",0.52,0.41,0.25,0.45,0.77,0.45,0.03
"Jason Michael Carroll",0.51,0.76,0.12,0.57,0.9,0.22,0.04
"Jason Michael Snow",0.61,0.48,0.24,0.64,0.81,0.7,0.37
"Jason Mraz",0.62,0.56,0.2,0.58,0.85,0.38,0.05
"Jason Nevins",0.69,0.95,0.42,0.56,0.88,0.04,0.05
"Jason Raize",0.43,0.31,0.11,0.47,0.78,0.72,0.11
"Jason Reeves",0.52,0.73,0.11,0.53,0.92,0.2,0.04
"Jason Rivas",0.78,0.92,0.19,0.57,0.87,0.01,0.07
"Jason Segel",0.6,0.47,0.23,0.64,0.85,0.33,0.08
"Jason Sellers",0.44,0.56,0.16,0.79,0.86,0.61,0.04
"Jason Walker",0.55,0.45,0.11,0.6,0.86,0.49,0.03
"Jason Waver",0.69,0.4,0.1,0.37,0.75,0.54,0.05
"Jason Weaver",0.61,0.56,0.15,0.7,0.78,0.35,0.14
"Jasper Dolphin",0.63,0.61,0.26,0.31,0.86,0.01,0.22
"Jasper Van't Hof",0.32,0.08,0.71,0.8,0.63,0.97,0.05
"Jatileswar Mukherjee",0.4,0.17,0.11,0.76,0.62,0.99,0.06
"Jatin-Lalit",0.55,0.77,0.19,0.45,0.87,0.5,0.11
"Jauz",0.72,0.92,0.11,0.57,0.9,0.15,0.07
"Javanese gamelan ensemble",0.5,0.2,0.13,0.4,0.67,0.99,0.04
"Javed Ali",0.44,0.72,0.09,0.42,0.87,0.47,0.12
"Javier Garza",0.71,0.92,0.04,0.58,0.86,0,0.08
"Javier Navarrete",0.28,0.09,0.08,0.33,0.65,0.89,0.04
"Javier Perianes",0.3,0.12,0.11,0.44,0.68,0.98,0.04
"Javier Rosas",0.84,0.77,0.09,0.52,0.88,0.32,0.04
"Javier Rosas Y Su Artillería Pesada",0.82,0.81,0.45,0.56,0.87,0.21,0.06
"Javier Solís",0.45,0.3,0.25,0.52,0.79,0.82,0.04
"Javier Vazquez",0.65,0.69,0.09,0.43,0.9,0.73,0.05
"Javon the Medievil",0.8,0.64,0.09,0.4,0.85,0.13,0.4
"Jawahar Kaul",0.64,0.15,0.15,0.45,0.77,1,0.33
"Jawbox",0.29,0.91,0.38,0.44,0.88,0.05,0.06
"Jawbreaker",0.38,0.91,0.14,0.65,0.87,0.01,0.07
"Jawga Boyz",0.74,0.69,0.16,0.63,0.87,0.02,0.1
"Jawsh 685",0.77,0.52,0.28,0.69,0.85,0.21,0.08
"Jax Jones",0.66,0.73,0.12,0.56,0.86,0.14,0.08
"Jay & Kai",0.54,0.49,0.74,0.55,0.76,0.91,0.06
"Jay & The Americans",0.52,0.53,0.28,0.54,0.81,0.59,0.04
"Jay & The Techniques",0.67,0.72,0.09,0.63,0.82,0.18,0.05
"Jay Anthony",0.75,0.68,0.19,0.45,0.87,0.14,0.06
"Jay Beckenstein",0.71,0.6,0.1,0.4,0.83,0.05,0.03
"Jay Blackton",0.47,0.22,0.26,0.45,0.75,0.91,0.08
"Jay Chou",0.6,0.53,0.18,0.59,0.86,0.4,0.03
"Jay Critch",0.52,0.59,0.27,0.6,0.82,0.05,0.14
"Jay Dee",0.87,0.4,0.3,0.43,0.8,0.21,0.15
"Jay Elder",0.47,0.68,0.19,0.67,0.74,0,0.04
"Jay Electronica",0.47,0.75,0.3,0.38,0.83,0.21,0.29
"Jay Ferguson",0.5,0.72,0.54,0.59,0.85,0,0.03
"Jay Gordon",0.6,0.86,0.09,0.55,0.87,0,0.07
"Jay Hickman",0.63,0.5,0.81,0.58,0.7,0.84,0.96
"Jay Jay Johnson",0.6,0.02,0.09,0.27,0.64,0.99,0.04
"Jay Johnson",0.5,0.67,0.91,0.35,0.86,0.78,0.11
"Jay Larrin",0.46,0.4,0.24,0.58,0.8,0.48,0.03
"Jay Mark",0.69,0.95,0.05,0.66,0.88,0.04,0.1
"Jay McShann",0.48,0.03,0.12,0.45,0.6,0.96,0.05
"Jay McShann & His Orchestra",0.51,0.69,0.39,0.59,0.87,0.86,0.09
"Jay Park",0.57,0.7,0.1,0.44,0.88,0.3,0.26
"Jay Prince",0.93,0.68,0.12,0.53,0.85,0.05,0.2
"Jay Pérez",0.57,0.58,0.16,0.6,0.81,0.38,0.03
"Jay R",0.65,0.96,0.4,0.57,0.88,0,0.05
"Jay Reatard",0.41,0.94,0.11,0.45,0.97,0.23,0.19
"Jay Rock",0.73,0.62,0.2,0.47,0.88,0.12,0.23
"Jay Sean",0.7,0.73,0.2,0.48,0.91,0.13,0.09
"Jay Ungar",0.18,0.1,0.1,0.39,0.68,0.95,0.04
"Jay Wheeler",0.71,0.46,0.32,0.52,0.87,0.59,0.08
"Jay2",0.82,0.5,0.16,0.33,0.87,0.08,0.3
"JayDaYoungan",0.81,0.5,0.13,0.56,0.81,0.37,0.34
"Jaya",0.68,0.42,0.08,0.38,0.79,0.45,0.03
"Jayamala Shiledar",0.59,0.2,0.13,0.52,0.76,0.99,0.11
"Jayant",0.5,0.2,0.6,0.6,0.8,0.98,0.15
"Jaycee Hill",0.68,0.87,0.31,0.44,0.91,0.8,0.12
"Jayden Secor",0.77,0.7,0.07,0.44,0.85,0,0.03
"Jayegovember",0.69,0.41,0.13,0.44,0.85,0.77,0.1
