"artists","danceability","energy","liveness","tempo","loudness","acousticness","speechiness"
"Aage Braarud",0.43,0.27,0.14,0.62,0.8,0.94,0.03
"Aaliyah",0.68,0.6,0.22,0.57,0.85,0.17,0.11
"Aalon",0.56,0.45,0.06,0.62,0.8,0.38,0.04
"Aaron Carter",0.87,0.9,0.06,0.52,0.91,0.03,0.1
"Aaron Copland",0.35,0.16,0.16,0.49,0.66,0.96,0.07
"Aaron Espe",0.79,0.36,0.11,0.46,0.79,0.9,0.03
"Aaron Hall",0.71,0.64,0.24,0.58,0.85,0.04,0.05
"Aaron Kamm and the One Drops",0.78,0.64,0.09,0.51,0.81,0.11,0.06
"Aaron Krause",0.32,0.2,0.1,0.38,0.79,0.76,0.03
"Aaron Kwok",0.65,0.58,0.18,0.47,0.79,0.36,0.04
"Aaron Lansing",0.41,0.02,0.11,0.43,0.52,0.99,0.06
"Aaron Lewis",0.58,0.63,0.23,0.58,0.88,0.25,0.03
"Aaron Lohr",0.52,0.4,0.2,0.59,0.81,0.69,0.07
"Aaron Mash",0.81,0.89,0.07,0.58,0.88,0,0.06
"Aaron May",0.77,0.5,0.13,0.65,0.84,0.21,0.19
"Aaron Neville",0.55,0.42,0.1,0.57,0.78,0.45,0.05
"Aaron Shaw",0.35,0.69,0.61,0.41,0.86,0.33,0.37
"Aaron Shust",0.5,0.67,0.19,0.52,0.9,0.02,0.04
"Aaron Smith",0.74,0.73,0.19,0.55,0.85,0.07,0.03
"Aaron Tippin",0.65,0.65,0.16,0.52,0.83,0.2,0.03
"Aaron Tveit",0.51,0.5,0.09,0.56,0.86,0.67,0.05
"Aaron Watson",0.65,0.58,0.13,0.64,0.86,0.08,0.03
"Aaron Y Su Grupo Ilusion",0.64,0.63,0.12,0.6,0.89,0.23,0.04
"Aaron Zigman",0.44,0.01,0.17,0.27,0.56,1,0.05
"Aarti Mukherji",0.33,0.33,0.24,0.65,0.75,0.94,0.05
"Aase Ziegler",0.36,0.25,0.32,0.45,0.77,0.97,0.04
"Ab-Soul",0.65,0.71,0.25,0.51,0.87,0.2,0.3
"Abandon All Ships",0.31,0.96,0.12,0.64,0.9,0,0.2
"Abandoned Pools",0.44,0.6,0.07,0.37,0.83,0.02,0.04
"Abbasuddin Ahmed",0.54,0.22,0.19,0.53,0.73,0.99,0.1
"Abbey Lincoln",0.48,0.48,0.28,0.38,0.82,0.43,0.08
"Abby Anderson",0.62,0.82,0.14,0.46,0.89,0.17,0.03
"Abby Newton",0.41,0.37,0.11,0.5,0.69,0.77,0.04
"Abdel Aziz Mahmoud",0.42,0.45,0.55,0.49,0.82,0.95,0.04
"Abdel Ghany El Sayed",0.38,0.26,0.09,0.46,0.73,0.8,0.05
"Abdel Halim Hafez",0.39,0.31,0.31,0.52,0.8,0.86,0.05
"Abdul",0.6,0.1,0.11,0.6,0.81,0.99,0.1
"Abdul Halim Chowdhry",0.42,0.17,0.15,0.44,0.6,0.72,0.04
"Abdul Khader",0.48,0.74,0.25,0.62,0.89,0.98,0.06
"Abdulial Mahi",0.46,0.26,0.53,0.74,0.72,0.95,0.1
"Abdülkerim",0.44,0.24,0.27,0.49,0.85,0.98,0.03
"Abel Zavala",0.53,0.5,0.35,0.55,0.85,0.57,0.03
"Abha Sarkar",0.52,0.24,0.11,0.5,0.82,1,0.03
"Abhayapada Chatterjee",0.49,0.06,0.25,0.56,0.59,1,0.18
"Abhi The Nomad",0.72,0.59,0.17,0.49,0.86,0.41,0.1
"Abhishek Bachchan",0.87,0.49,0.08,0.43,0.81,0.08,0.12
"Abhram Bhagat",0.54,0.26,0.21,0.45,0.82,0.95,0.11
"Abigale Haness",0.42,0.5,0.21,0.69,0.84,0.64,0.05
"Aboriginal Songman",0.41,0.04,0.13,0.37,0.66,0.22,0.05
"Above & Beyond",0.62,0.72,0.15,0.6,0.85,0.01,0.06
"Above The Law",0.7,0.93,0.05,0.45,0.83,0,0.1
"Abracadabra",0.62,0.37,0.16,0.6,0.76,0.34,0.04
"Abraham Goldfaden",0.25,0.2,0.25,0.47,0.76,0.88,0.04
"Abraham Gustavito",0.63,0.35,0.32,0.55,0.74,0.22,0.07
"Abram Chasins",0.6,0.1,0.15,0.52,0.59,0.99,0.08
"Abrasive Wheels",0.16,0.87,0.09,0.69,0.92,0.01,0.06
"Absis",0.51,0.21,0.15,0.78,0.6,0.88,0.9
"Absofacto",0.69,0.58,0.07,0.39,0.8,0.23,0.06
"Abstract",0.64,0.54,0.2,0.36,0.81,0.09,0.25
"Abwärts",0.4,0.76,0.07,0.82,0.77,0,0.04
"Academia dos Renascidos",0.58,0.21,0.14,0.48,0.69,0.92,0.21
"Academy Of Choir Art Of Russia",0.18,0.28,0.11,0.48,0.74,0.97,0.04
"Academy Of London",0.15,0.01,0.1,0.61,0.39,0.97,0.04
"Academy of Ancient Music",0.33,0.19,0.17,0.53,0.65,0.89,0.05
"Academy of St. Martin in the Fields",0.27,0.1,0.14,0.46,0.6,0.95,0.04
"Academy of St. Martin in the Fields Chorus",0.28,0.18,0.15,0.46,0.69,0.98,0.04
"Acapulco Tropical",0.7,0.58,0.18,0.58,0.86,0.41,0.04
"Accademia I Filarmonici",0.44,0.28,0.19,0.53,0.7,0.87,0.04
"Accept",0.44,0.77,0.25,0.59,0.82,0,0.06
"Acceptance",0.42,0.79,0.1,0.58,0.91,0.07,0.04
"Ace",0.72,0.41,0.09,0.57,0.75,0.59,0.03
"Ace Frehley",0.54,0.85,0.14,0.55,0.87,0.14,0.07
"Ace Hood",0.68,0.71,0.21,0.67,0.9,0.07,0.16
"Ace Ventura",0.46,0.64,0.29,0.47,0.83,0,0.07
"Ace of Base",0.72,0.82,0.11,0.48,0.87,0.03,0.05
"Acerina Y Su Danzonera",0.38,0.63,0.29,0.51,0.82,0.67,0.07
"Aceyalone",0.8,0.76,0.13,0.43,0.85,0.04,0.22
"Achille Togliani",0.39,0.05,0.2,0.49,0.6,0.99,0.07
"Acid Bath",0.32,0.85,0.1,0.57,0.86,0.02,0.07
"Acid Ghost",0.51,0.59,0.12,0.79,0.82,0.69,0.03
"Acid King",0.32,0.66,0.1,0.54,0.81,0,0.04
"Acidic Beats",0.8,0.84,0.11,0.59,0.84,0,0.05
"Acker Bilk",0.29,0.18,0.1,0.51,0.71,0.83,0.04
"Acoustic Alchemy",0.64,0.58,0.17,0.42,0.77,0.35,0.04
"Action Bronson",0.56,0.71,0.28,0.51,0.88,0.15,0.37
"Active Child",0.57,0.54,0.13,0.62,0.83,0.28,0.03
"Ad Brown",0.73,0.86,0.05,0.6,0.87,0,0.08
"Ada Falcón",0.63,0.2,0.17,0.59,0.76,0.99,0.12
"Ada Moore",0.39,0.24,0.38,0.4,0.82,0.95,0.04
"Adalberto Santiago",0.65,0.76,0.42,0.55,0.88,0.71,0.05
"Adam & The Ants",0.33,0.74,0.13,0.8,0.81,0.01,0.03
"Adam Ant",0.6,0.91,0.36,0.5,0.89,0.09,0.07
"Adam Calhoun",0.82,0.63,0.08,0.58,0.87,0.08,0.14
"Adam Caroll",0.56,0.08,0.12,0.65,0.62,0.99,0.05
"Adam Carroll",0.62,0.35,0.14,0.49,0.82,0.87,0.06
"Adam Chanler-Berat",0.48,0.72,0.12,0.74,0.88,0.36,0.1
"Adam Counts",0.5,0.66,0.29,0.84,0.93,0,0.23
"Adam Gontier",0.27,0.79,0.13,0.82,0.91,0.01,0.04
"Adam Gussow",0.54,0.23,0.63,0.68,0.57,0.75,0.06
"Adam Hicks",0.53,0.74,0.13,0.64,0.91,0.17,0.05
"Adam Hood",0.39,0.64,0.19,0.79,0.88,0.35,0.03
"Adam Jensen",0.56,0.72,0.15,0.58,0.89,0.36,0.04
"Adam K & Soha",0.73,0.82,0.2,0.59,0.87,0.01,0.05
"Adam Lambert",0.57,0.81,0.17,0.6,0.9,0.05,0.08
"Adam Levine",0.57,0.71,0.19,0.57,0.89,0.19,0.12
"Adam Melchor",0.49,0.28,0.15,0.37,0.77,0.95,0.03
"Adam Pascal",0.51,0.58,0.2,0.63,0.88,0.33,0.06
"Adam Plack",0.53,0.11,0.12,0.37,0.64,0.96,0.12
"Adam Riegler",0.51,0.48,0.29,0.57,0.85,0.77,0.07
"Adam Sandler",0.55,0.47,0.51,0.51,0.81,0.67,0.35
"Adamski",0.78,0.55,0.05,0.55,0.75,0.02,0.06
"Adan Chalino Sanchez",0.52,0.75,0.11,0.6,0.91,0.18,0.06
"Adan Romero",0.78,0.55,0.07,0.63,0.88,0.64,0.07
"Adelaide Van Wey",0.45,0.12,0.26,0.41,0.66,0.99,0.18
"Adele",0.56,0.5,0.13,0.54,0.87,0.44,0.06
