"group","axis","value"
"5 Seconds of Summer","tempo",137.1530957
"50 Cent","danceability",0.69248503
"50 Cent","energy",0.761335329
"50 Cent","liveness",0.191894012
"50 Cent","tempo",105.6604491
"504 Boyz","danceability",0.823666667
"504 Boyz","energy",0.652333333
"504 Boyz","liveness",0.274666667
"504 Boyz","tempo",140.0356667
"520Hz","danceability",0
"520Hz","energy",0.0197
"520Hz","liveness",0.104
"520Hz","tempo",0
"54-40","danceability",0.669
"54-40","energy",0.645
"54-40","liveness",0.132
"54-40","tempo",119.179
"5th Ward Boyz","danceability",0.842
"5th Ward Boyz","energy",0.336
"5th Ward Boyz","liveness",0.256
"5th Ward Boyz","tempo",78.001
"6 Dogs","danceability",0.748
"6 Dogs","energy",0.66
"6 Dogs","liveness",0.101
"6 Dogs","tempo",137.033
"645AR","danceability",0.864
"645AR","energy",0.613
"645AR","liveness",0.123
"645AR","tempo",150.067
"69 Boyz","danceability",0.8576
"69 Boyz","energy",0.715
"69 Boyz","liveness",0.16568
"69 Boyz","tempo",132.8056
"6LACK","danceability",0.636372549
"6LACK","energy",0.509215686
"6LACK","liveness",0.119180392
"6LACK","tempo",118.1979804
"6cyclemind","danceability",0.7175
"6cyclemind","energy",0.4735
"6cyclemind","liveness",0.131
"6cyclemind","tempo",97.2875
"6ix9ine","danceability",0.736933333
"6ix9ine","energy",0.675066667
"6ix9ine","liveness",0.147386667
"6ix9ine","tempo",129.4227
"7 Aurelius","danceability",0.768
"7 Aurelius","energy",0.725
"7 Aurelius","liveness",0.122
"7 Aurelius","tempo",98.963
"7 Seconds","danceability",0.451
"7 Seconds","energy",0.908
"7 Seconds","liveness",0.155
"7 Seconds","tempo",103.893
"7 Year Bitch","danceability",0.349
"7 Year Bitch","energy",0.709
"7 Year Bitch","liveness",0.147
"7 Year Bitch","tempo",114.581
"702","danceability",0.74
"702","energy",0.611222222
"702","liveness",0.164422222
"702","tempo",99.07011111
"707","danceability",0.671
"707","energy",0.707
"707","liveness",0.057
"707","tempo",125.829
"7eventh Time Down","danceability",0.58
"7eventh Time Down","energy",0.884
"7eventh Time Down","liveness",0.116
"7eventh Time Down","tempo",105.927
"808 State","danceability",0.55
"808 State","energy",0.753
"808 State","liveness",0.09715
"808 State","tempo",128.4685
"88-Keys","danceability",0.649
"88-Keys","energy",0.6435
"88-Keys","liveness",0.421
"88-Keys","tempo",122.3495
"88GLAM","danceability",0.764
"88GLAM","energy",0.672
"88GLAM","liveness",0.103
"88GLAM","tempo",150.021
"88rising","danceability",0.6
"88rising","energy",0.530142857
"88rising","liveness",0.175414286
"88rising","tempo",119.2835714
"8Ball","danceability",0.7885
"8Ball","energy",0.661928571
"8Ball","liveness",0.234214286
"8Ball","tempo",119.9201429
"8Ball & MJG","danceability",0.7446
"8Ball & MJG","energy",0.696666667
"8Ball & MJG","liveness",0.244573333
"8Ball & MJG","tempo",132.3586667
"9 Days Wonder","danceability",0.452583333
"9 Days Wonder","energy",0.631083333
"9 Days Wonder","liveness",0.182108333
"9 Days Wonder","tempo",119.3881667
"904TEZZO","danceability",0.697
"904TEZZO","energy",0.48
"904TEZZO","liveness",0.378
"904TEZZO","tempo",119.951
"90sFlav","danceability",0.748
"90sFlav","energy",0.265
"90sFlav","liveness",0.0866
"90sFlav","tempo",77.009
"93FEETOFSMOKE","danceability",0.816
"93FEETOFSMOKE","energy",0.577
"93FEETOFSMOKE","liveness",0.0827
"93FEETOFSMOKE","tempo",171.028
"94 East","danceability",0.744
"94 East","energy",0.797
"94 East","liveness",0.139
"94 East","tempo",94.801
"98º","danceability",0.622722222
"98º","energy",0.585444444
"98º","liveness",0.116638889
"98º","tempo",103.3227778
"99 Neighbors","danceability",0.817
"99 Neighbors","energy",0.487
"99 Neighbors","liveness",0.336
"99 Neighbors","tempo",70.949
"99 Percent","danceability",0.786
"99 Percent","energy",0.854
"99 Percent","liveness",0.179
"99 Percent","tempo",105.078
"999","danceability",0.596
"999","energy",0.631
"999","liveness",0.1723
"999","tempo",132.0906667
"9lokknine","danceability",0.864333333
"9lokknine","energy",0.544
"9lokknine","liveness",0.1746
"9lokknine","tempo",90.15666667
"9tails","danceability",0.711
"9tails","energy",0.545
"9tails","liveness",0.122
"9tails","tempo",108.02
"9th Wonder","danceability",0.685
"9th Wonder","energy",0.518
"9th Wonder","liveness",0.13955
"9th Wonder","tempo",90.4195
"? & The Mysterians","danceability",0.630545455
"? & The Mysterians","energy",0.692636364
"? & The Mysterians","liveness",0.149781818
"? & The Mysterians","tempo",115.7935455
"?uestlove","danceability",0.885
"?uestlove","energy",0.598
"?uestlove","liveness",0.384
"?uestlove","tempo",95.402
"A","danceability",0.259
"A","energy",0.899
"A","liveness",0.512
"A","tempo",176.686
"A Boogie Wit da Hoodie","danceability",0.711480392
"A Boogie Wit da Hoodie","energy",0.623303922
"A Boogie Wit da Hoodie","liveness",0.161848039
"A Boogie Wit da Hoodie","tempo",120.1283431
"A Certain Ratio","danceability",0.695
"A Certain Ratio","energy",0.933
"A Certain Ratio","liveness",0.07475
"A Certain Ratio","tempo",125.9155
"A Change of Pace","danceability",0.528
"A Change of Pace","energy",0.946
"A Change of Pace","liveness",0.0655
"A Change of Pace","tempo",133.074
"A Day To Remember","danceability",0.400111111
"A Day To Remember","energy",0.918740741
"A Day To Remember","liveness",0.286644444
"A Day To Remember","tempo",144.3046296
"A Fine Frenzy","danceability",0.549
"A Fine Frenzy","energy",0.24
"A Fine Frenzy","liveness",0.106
"A Fine Frenzy","tempo",119.58
"A Flock Of Seagulls","danceability",0.51045
"A Flock Of Seagulls","energy",0.73685
"A Flock Of Seagulls","liveness",0.20853
"A Flock Of Seagulls","tempo",145.3544
"A Foot In Coldwater","danceability",0.444
"A Foot In Coldwater","energy",0.592
"A Foot In Coldwater","liveness",0.108
"A Foot In Coldwater","tempo",100.811
"A Great Big World","danceability",0.4695
"A Great Big World","energy",0.374625
"A Great Big World","liveness",0.113625
"A Great Big World","tempo",119.454125
"A Guy Called Gerald","danceability",0.683
"A Guy Called Gerald","energy",0.789
